city,region,maire,parti_maire,couleur_municipale,annee_election,president_region,parti_region,couleur_regionale,note,annee_vls,couleur_precedente
Brest,Bretagne,François Cuillandre,PS,Gauche,2020,Loïg Chesnais-Girard,PS,Gauche,Municipales 2020,2019,Gauche
Reims,Grand Est,Arnaud Robinet,LR,Droite,2020,Franck Leroy,LR,Droite,Municipales 2020,2011,Droite
Nancy,Grand Est,Mathieu Klein,PS,Gauche,2020,Franck Leroy,LR,Droite,Municipales 2020,2008,Gauche
Lille,Hauts-de-France,Martine Aubry,PS,Gauche,2020,Xavier Bertrand,LR,Droite,Municipales 2020,2011,Gauche
Le Havre,Normandie,Édouard Philippe,Horizons,Centre,2020,Hervé Morin,UDI,Centre,Municipales 2020,2018,Droite
Caen,Normandie,Joël Bruneau,LR,Droite,2020,Hervé Morin,UDI,Centre,Municipales 2020,2016,Droite
Perpignan,Occitanie,Louis Aliot,RN,Extrême droite,2020,Carole Delga,PS,Gauche,Municipales 2020,2013,Droite
Besançon,Bourgogne-Franche-Comté,Anne Vignot,EELV,Gauche,2020,Marie-Guite Dufay,PS,Gauche,Municipales 2020,2012,Gauche
Pau,Nouvelle-Aquitaine,Nicolas Patriarche,MoDem,Centre,2020,Alain Rousset,PS,Gauche,Municipales 2020,2019,Centre
Avignon,Provence-Alpes-Côte d'Azur,Cécile Helle,PS,Gauche,2020,Renaud Muselier,LR,Droite,Municipales 2020,2014,Gauche
Rouen,Normandie,Nicolas Mayer-Rossignol,PS,Gauche,2020,Hervé Morin,UDI,Centre,Municipales 2020,2020,Gauche
Troyes,Grand Est,François Baroin,LR,Droite,2020,Franck Leroy,LR,Droite,Municipales 2020,2014,Droite
Mulhouse,Grand Est,Michèle Lutz,LR,Droite,2020,Franck Leroy,LR,Droite,Municipales 2020,2015,Droite
Saint-Étienne,Auvergne-Rhône-Alpes,Gaël Perdriau,LR,Droite,2020,Laurent Wauquiez,LR,Droite,Municipales 2020,2019,Droite
Calais,Hauts-de-France,Natacha Bouchart,LR,Droite,2020,Xavier Bertrand,LR,Droite,Municipales 2020,2015,Droite
Poitiers,Nouvelle-Aquitaine,Léonore Moncond'huy,EELV,Gauche,2020,Alain Rousset,PS,Gauche,Municipales 2020,2017,Centre
Amiens,Hauts-de-France,Brigitte Fouré,DVG,Centre,2020,Xavier Bertrand,LR,Droite,Municipales 2020,2018,Centre
Niort,Nouvelle-Aquitaine,Jérôme Baloge,DVG,Centre,2020,Alain Rousset,PS,Gauche,Municipales 2020,2019,Centre
La Rochelle,Nouvelle-Aquitaine,Jean-François Fountaine,DVG,Centre,2020,Alain Rousset,PS,Gauche,Municipales 2020,2011,Gauche
Lorient,Bretagne,Fabrice Loher,UDI,Centre,2020,Loïg Chesnais-Girard,PS,Gauche,Municipales 2020,2015,Centre
Saint-Brieuc,Bretagne,Marie-Claire Diouron,LR,Droite,2020,Loïg Chesnais-Girard,PS,Gauche,Municipales 2020,2014,Droite
Valence,Auvergne-Rhône-Alpes,Nicolas Daragon,LR,Droite,2020,Laurent Wauquiez,LR,Droite,Municipales 2020,2019,Droite
Bourg-en-Bresse,Auvergne-Rhône-Alpes,Jean-François Debat,PS,Gauche,2020,Laurent Wauquiez,LR,Droite,Municipales 2020,2018,Gauche
Auxerre,Bourgogne-Franche-Comté,Guy Ferez,PS,Gauche,2020,Marie-Guite Dufay,PS,Gauche,Municipales 2020,2016,Gauche
Bourges,Centre-Val de Loire,Nicolas Sansu,PCF,Gauche,2020,François Bonneau,PS,Gauche,Municipales 2020,2014,Gauche
Carcassonne,Occitanie,Régis Banquet,PS,Gauche,2020,Carole Delga,PS,Gauche,Municipales 2020,2016,Gauche
Laval,Pays de la Loire,François Zocchetto,UDI,Centre,2020,Christelle Morançais,LR,Droite,Municipales 2020,2016,Centre
Cholet,Pays de la Loire,Gilles Bourdouleix,DVG,Centre,2020,Christelle Morançais,LR,Droite,Municipales 2020,2019,Centre
Tarbes,Occitanie,Gérard Trémège,DVG,Centre,2020,Carole Delga,PS,Gauche,Municipales 2020,2019,Centre
Belfort,Bourgogne-Franche-Comté,Damien Meslot,LR,Droite,2020,Marie-Guite Dufay,PS,Gauche,Municipales 2020,2017,Droite
Cherbourg-en-Cotentin,Normandie,Benoît Arrivé,PS,Gauche,2020,Hervé Morin,UDI,Centre,Municipales 2020,2019,Gauche
Bayonne,Nouvelle-Aquitaine,Jean-René Etchegaray,Centre,Centre,2020,Alain Rousset,PS,Gauche,Municipales 2020,2011,Centre
Annecy,Auvergne-Rhône-Alpes,Jean-Luc Rigaut,UDI,Centre,2020,Laurent Wauquiez,LR,Droite,Municipales 2020,2013,Centre
Versailles,Île-de-France,François de Mazières,LR,Droite,2020,Valérie Pécresse,LR,Droite,Municipales 2020,2018,Droite
Limoges,Nouvelle-Aquitaine,Émile-Roger Lombertie,LR,Droite,2020,Alain Rousset,PS,Gauche,Municipales 2020,2013,Droite
Ajaccio,Corse,Stéphane Sbraggia,DVG,Centre,2020,Gilles Simeoni,Corse,Centre,Municipales 2020,2018,Centre
Saint-Nazaire,Pays de la Loire,David Samzun,PS,Gauche,2020,Christelle Morançais,LR,Droite,Municipales 2020,2016,Gauche
Agen,Nouvelle-Aquitaine,Roméo Lozano,DVG,Centre,2020,Alain Rousset,PS,Gauche,Municipales 2020,2019,Centre
Épinal,Grand Est,Michel Heinrich,LR,Droite,2020,Franck Leroy,LR,Droite,Municipales 2020,2018,Droite
Gap,Provence-Alpes-Côte d'Azur,Roger Didier,LR,Droite,2020,Renaud Muselier,LR,Droite,Municipales 2020,2020,Droite
Beauvais,Hauts-de-France,Caroline Cayeux,LR,Droite,2020,Xavier Bertrand,LR,Droite,Municipales 2020,2015,Droite
Vichy,Auvergne-Rhône-Alpes,Frédéric Aguilera,LR,Droite,2020,Laurent Wauquiez,LR,Droite,Municipales 2020,2016,Droite
Millau,Occitanie,Christophe Rivenq,LR,Droite,2020,Carole Delga,PS,Gauche,Municipales 2020,2016,Droite
Montluçon,Auvergne-Rhône-Alpes,Frédéric Laporte,LR,Droite,2020,Laurent Wauquiez,LR,Droite,Municipales 2020,2015,Droite
La Roche-sur-Yon,Pays de la Loire,Luc Bouard,LR,Droite,2020,Christelle Morançais,LR,Droite,Municipales 2020,2018,Droite
Draguignan,Provence-Alpes-Côte d'Azur,Maxime Caubit,LR,Droite,2020,Renaud Muselier,LR,Droite,Municipales 2020,2020,Droite
Sarreguemines,Grand Est,Céleste Lett,LR,Droite,2020,Franck Leroy,LR,Droite,Municipales 2020,2018,Droite
Bourgoin-Jallieu,Auvergne-Rhône-Alpes,Vincent Chriqui,DVG,Centre,2020,Laurent Wauquiez,LR,Droite,Municipales 2020,2016,Centre
Valenciennes,Hauts-de-France,Laurent Degallaix,DVG,Centre,2020,Xavier Bertrand,LR,Droite,Municipales 2020,2015,Centre
Libourne,Nouvelle-Aquitaine,Philippe Buisson,PS,Gauche,2020,Alain Rousset,PS,Gauche,Municipales 2020,2019,Gauche
Châtellerault,Nouvelle-Aquitaine,Jean-Pierre Abelin,UDI,Centre,2020,Alain Rousset,PS,Gauche,Municipales 2020,2015,Centre
Soissons,Hauts-de-France,Alain Crémont,DVG,Centre,2020,Xavier Bertrand,LR,Droite,Municipales 2020,2018,Centre
Marne-la-Vallée,Île-de-France,divers,DVG,Centre,2020,Valérie Pécresse,LR,Droite,Intercommunalité (plusieurs communes),2016,Centre
Île-de-France (Cergy),Île-de-France,divers,DVG,Centre,2020,Valérie Pécresse,LR,Droite,Agglomération Cergy-Pontoise,2017,Centre
Brive-la-Gaillarde,Nouvelle-Aquitaine,Frédéric Soulier,LR,Droite,2020,Alain Rousset,PS,Gauche,Municipales 2020,2019,Droite
